pool	universe	strategy	modality	true_donor	n_cells	donor_accuracy	min_dist	mean_dist	kl_min	kl_mean
AFR_only__adversarial_mindist__rep1	AFR_only	adversarial_mindist	atac	HG03461	982	0.9063136456211812	100.0	103.62320709228516	1.406992793083191	1.5040394067764282
AFR_only__adversarial_mindist__rep1	AFR_only	adversarial_mindist	gex	HG03520	1023	0.7810361681329423	100.0	103.62320709228516	1.406992793083191	1.5040394067764282
AFR_only__adversarial_mindist__rep2	AFR_only	adversarial_mindist	atac	HG02588	1048	0.9055343511450382	99.77975463867188	102.8152847290039	1.3821614980697632	1.4739065170288086
AFR_only__adversarial_mindist__rep2	AFR_only	adversarial_mindist	gex	NA19159	982	0.7892057026476579	99.77975463867188	102.8152847290039	1.3821614980697632	1.4739065170288086
AFR_only__greedy_maxkl__rep2	AFR_only	greedy_maxkl	atac	NA18488	982	0.9093686354378818	112.56553649902344	119.12351989746094	1.678526520729065	1.9357004165649412
AFR_only__greedy_maxkl__rep2	AFR_only	greedy_maxkl	gex	NA18489	1023	0.8152492668621701	112.56553649902344	119.12351989746094	1.678526520729065	1.9357004165649412
AFR_only__greedy_maxmean__rep1	AFR_only	greedy_maxmean	atac	NA20314	1016	0.906496062992126	104.52751	120.43151	1.8868535	2.5124557
AFR_only__greedy_maxmean__rep1	AFR_only	greedy_maxmean	gex	HG02816	1019	0.7703631010794897	104.52751	120.43151	1.8868535	2.5124557
AFR_only__greedy_maxmean__rep2	AFR_only	greedy_maxmean	atac	HG02977	1048	0.9093511450381679	104.52751	120.3787	1.8868535	2.510661
AFR_only__greedy_maxmean__rep2	AFR_only	greedy_maxmean	gex	HG02816	1019	0.7693817468105987	104.52751	120.3787	1.8868535	2.510661
AFR_only__greedy_maxmean__rep3	AFR_only	greedy_maxmean	atac	NA20314	1048	0.9045801526717557	104.52751	120.66752	1.8868535	2.5218182
AFR_only__greedy_maxmean__rep3	AFR_only	greedy_maxmean	gex	HG02814	981	0.7492354740061162	104.52751	120.66752	1.8868535	2.5218182
AFR_only__greedy_maxmin__rep1	AFR_only	greedy_maxmin	atac	HG02977	1016	0.9124015748031497	113.7717	120.03552	2.23535	2.492639
AFR_only__greedy_maxmin__rep1	AFR_only	greedy_maxmin	gex	NA19042	1019	0.8272816486751717	113.7717	120.03552	2.23535	2.492639
AFR_only__greedy_maxmin__rep3	AFR_only	greedy_maxmin	atac	HG02814	981	0.9113149847094801	113.22986	119.63824	2.2141087	2.4764733
AFR_only__greedy_maxmin__rep3	AFR_only	greedy_maxmin	gex	HG02814	981	0.764525993883792	113.22986	119.63824	2.2141087	2.4764733
AFR_only__random__rep1	AFR_only	random	atac	NA18878	982	0.9063136456211812	103.54226	109.27419	1.8514512	2.0638402
AFR_only__random__rep1	AFR_only	random	gex	HG03202	1023	0.7781036168132942	103.54226	109.27419	1.8514512	2.0638402
AFR_only__random__rep2	AFR_only	random	atac	HG02888	1023	0.9139784946236559	104.54664	109.404625	1.8875444	2.0680835
AFR_only__random__rep2	AFR_only	random	gex	HG03157	1019	0.803729146221786	104.54664	109.404625	1.8875444	2.0680835
AMR_only__adversarial_mindist__rep2	AMR_only	adversarial_mindist	atac	HG01926	1048	0.9007633587786259	85.6913070678711	89.3214340209961	0.971569836139679	1.0805736780166626
AMR_only__adversarial_mindist__rep2	AMR_only	adversarial_mindist	gex	HG02147	981	0.8246687054026504	85.6913070678711	89.3214340209961	0.971569836139679	1.0805736780166626
AMR_only__greedy_maxkl__rep1	AMR_only	greedy_maxkl	atac	HG02252	1023	0.895405669599218	109.18791198730467	114.7220230102539	1.597160577774048	1.8280029296875
AMR_only__greedy_maxkl__rep1	AMR_only	greedy_maxkl	gex	HG02146	1048	0.8301526717557252	109.18791198730467	114.7220230102539	1.597160577774048	1.8280029296875
AMR_only__greedy_maxkl__rep3	AMR_only	greedy_maxkl	atac	HG02150	982	0.9022403258655805	111.1080551147461	114.90013885498048	1.6879433393478394	1.8224447965621948
AMR_only__greedy_maxkl__rep3	AMR_only	greedy_maxkl	gex	HG01174	981	0.8124362895005097	111.1080551147461	114.90013885498048	1.6879433393478394	1.8224447965621948
AMR_only__greedy_maxmean__rep1	AMR_only	greedy_maxmean	atac	HG01369	1023	0.9090909090909091	97.077286	116.93925	1.6274672	2.371815
AMR_only__greedy_maxmean__rep1	AMR_only	greedy_maxmean	gex	HG01108	1041	0.8117195004803074	97.077286	116.93925	1.6274672	2.371815
AMR_only__greedy_maxmean__rep3	AMR_only	greedy_maxmean	atac	HG01082	1023	0.9159335288367546	99.05049	117.412926	1.6942998	2.387746
AMR_only__greedy_maxmean__rep3	AMR_only	greedy_maxmean	gex	HG01082	1023	0.8181818181818182	99.05049	117.412926	1.6942998	2.387746
AMR_only__greedy_maxmin__rep1	AMR_only	greedy_maxmin	atac	HG01286	1041	0.9087415946205571	109.18791	114.72202	2.0588567	2.2761426
AMR_only__greedy_maxmin__rep1	AMR_only	greedy_maxmin	gex	HG01286	1041	0.834774255523535	109.18791	114.72202	2.0588567	2.2761426
AMR_only__greedy_maxmin__rep2	AMR_only	greedy_maxmin	atac	HG01396	1023	0.9071358748778103	110.78357	115.70595	2.119472	2.3144867
AMR_only__greedy_maxmin__rep2	AMR_only	greedy_maxmin	gex	NA19773	981	0.8144750254841998	110.78357	115.70595	2.119472	2.3144867
AMR_only__random__rep1	AMR_only	random	atac	NA19755	982	0.9103869653767821	99.944984	108.27232	1.7250395	2.0282283
AMR_only__random__rep1	AMR_only	random	gex	HG01067	1023	0.8347996089931574	99.944984	108.27232	1.7250395	2.0282283
AMR_only__random__rep2	AMR_only	random	atac	NA19758	1041	0.9020172910662824	103.71596	107.51616	1.8576682	1.9972973
AMR_only__random__rep2	AMR_only	random	gex	NA19722	989	0.8149646107178968	103.71596	107.51616	1.8576682	1.9972973
AMR_only__random__rep3	AMR_only	random	atac	HG01474	1041	0.9087415946205571	95.01053	108.602104	1.5589077	2.0433142
AMR_only__random__rep3	AMR_only	random	gex	HG01171	1019	0.8263002944062807	95.01053	108.602104	1.5589077	2.0433142
EAS_only__adversarial_mindist__rep1	EAS_only	adversarial_mindist	atac	HG02078	1048	0.8950381679389313	92.89779663085938	95.63932037353516	1.169398069381714	1.2518590688705444
EAS_only__adversarial_mindist__rep1	EAS_only	adversarial_mindist	gex	NA19066	1016	0.8070866141732284	92.89779663085938	95.63932037353516	1.169398069381714	1.2518590688705444
EAS_only__adversarial_mindist__rep3	EAS_only	adversarial_mindist	atac	HG00557	1023	0.8914956011730205	90.57593536376952	95.3362274169922	1.115867257118225	1.2524397373199463
EAS_only__adversarial_mindist__rep3	EAS_only	adversarial_mindist	gex	NA18648	981	0.7166156982670744	90.57593536376952	95.3362274169922	1.115867257118225	1.2524397373199463
EAS_only__greedy_maxkl__rep2	EAS_only	greedy_maxkl	atac	HG00404	1016	0.8966535433070866	102.90287017822266	105.93866729736328	1.4526095390319824	1.5450935363769531
EAS_only__greedy_maxkl__rep2	EAS_only	greedy_maxkl	gex	HG00409	1041	0.8270893371757925	102.90287017822266	105.93866729736328	1.4526095390319824	1.5450935363769531
EAS_only__greedy_maxkl__rep3	EAS_only	greedy_maxkl	atac	HG00406	982	0.9032586558044806	104.01441955566406	107.6406021118164	1.4437906742095947	1.5713285207748413
EAS_only__greedy_maxkl__rep3	EAS_only	greedy_maxkl	gex	HG00982	981	0.8226299694189603	104.01441955566406	107.6406021118164	1.4437906742095947	1.5713285207748413
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	atac	NA18989	1023	0.8963831867057673	101.04949	108.488594	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	gex	NA18648	981	0.745158002038736	101.04949	108.488594	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep2	EAS_only	greedy_maxmean	atac	HG02383	1023	0.9022482893450635	101.862656	107.79176	1.7918719	2.0078135
EAS_only__greedy_maxmean__rep2	EAS_only	greedy_maxmean	gex	NA18562	1041	0.8117195004803074	101.862656	107.79176	1.7918719	2.0078135
EAS_only__greedy_maxmean__rep3	EAS_only	greedy_maxmean	atac	HG02250	1023	0.9022482893450635	102.86399	107.9199	1.8272742	2.012507
EAS_only__greedy_maxmean__rep3	EAS_only	greedy_maxmean	gex	HG02383	989	0.8311425682507584	102.86399	107.9199	1.8272742	2.012507
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	atac	NA18989	1048	0.9036259541984732	105.17604	108.05689	1.9103398	2.0170093
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	gex	HG02383	981	0.8216106014271152	105.17604	108.05689	1.9103398	2.0170093
