pool	universe	strategy	modality	bottleneck_donor	btl_n_cells	btl_ll_gap	min_dist	mean_dist	kl_min	kl_mean
AFR_only__adversarial_mindist__rep1	AFR_only	adversarial_mindist	atac	HG01912	901	25.08577136514983	100.0	103.62320709228516	1.406992793083191	1.5040394067764282
AFR_only__adversarial_mindist__rep1	AFR_only	adversarial_mindist	gex	HG01912	822	9.698929440389294	100.0	103.62320709228516	1.406992793083191	1.5040394067764282
AFR_only__adversarial_mindist__rep2	AFR_only	adversarial_mindist	atac	NA19146	897	25.775484949832776	99.77975463867188	102.8152847290039	1.3821614980697632	1.4739065170288086
AFR_only__adversarial_mindist__rep2	AFR_only	adversarial_mindist	gex	NA19095	844	9.31563981042654	99.77975463867188	102.8152847290039	1.3821614980697632	1.4739065170288086
AFR_only__greedy_maxkl__rep2	AFR_only	greedy_maxkl	atac	NA18489	949	25.106965226554266	112.56553649902344	119.12351989746094	1.678526520729065	1.9357004165649412
AFR_only__greedy_maxkl__rep2	AFR_only	greedy_maxkl	gex	NA18499	861	9.565969802555168	112.56553649902344	119.12351989746094	1.678526520729065	1.9357004165649412
AFR_only__greedy_maxmean__rep1	AFR_only	greedy_maxmean	atac	HG02433	913	26.550941949616647	104.52751	120.43151	1.8868535	2.5124557
AFR_only__greedy_maxmean__rep1	AFR_only	greedy_maxmean	gex	HG02816	788	10.013261421319797	104.52751	120.43151	1.8868535	2.5124557
AFR_only__greedy_maxmean__rep2	AFR_only	greedy_maxmean	atac	NA20278	901	27.468790233074362	104.52751	120.3787	1.8868535	2.510661
AFR_only__greedy_maxmean__rep2	AFR_only	greedy_maxmean	gex	HG03136	834	9.671942446043165	104.52751	120.3787	1.8868535	2.510661
AFR_only__greedy_maxmean__rep3	AFR_only	greedy_maxmean	atac	HG02814	898	26.79816258351893	104.52751	120.66752	1.8868535	2.5218182
AFR_only__greedy_maxmean__rep3	AFR_only	greedy_maxmean	gex	HG02814	740	10.026716216216215	104.52751	120.66752	1.8868535	2.5218182
AFR_only__greedy_maxmin__rep1	AFR_only	greedy_maxmin	atac	HG01912	913	25.974063526834613	113.7717	120.03552	2.23535	2.492639
