bin	n	acc	med_reads	med_llgap	p5_llgap	frac	modality
[0.0, 400.0)	724	0.925414364640884	2575.0	0.8	-1.2	0.0008295446212510083	gex
[400.0, 700.0)	11303	0.9701849066619481	4322.0	0.98	-1.45	0.012950749798342744	gex
[700.0, 1000.0)	37415	0.9913938260056128	6018.0	1.55	-1.47	0.042869353596832145	gex
[1000.0, 1500.0)	100871	0.9985426931427268	9022.0	2.6	-1.33	0.11557596062183764	gex
[1500.0, 2000.0)	114538	0.9997991932808326	12613.0	3.92	-1.14	0.13123533401774584	gex
[2000.0, 3000.0)	210337	0.9999762286235898	18055.0	6.16	-0.77	0.240999899171372	gex
[3000.0, 5000.0)	236547	1.0	28208.0	10.48	0.01	0.27103078939649483	gex
[5000.0, 8000.0)	117545	1.0	46512.0	18.86	1.59	0.13468069406761018	gex
[8000.0, inf)	43488	1.0	78901.0	33.21	5.56	0.049827674708513604	gex
[0.0, 400.0)	78	0.9230769230769231	1284.0	0.485	-1.6809999999999998	8.2048347514724e-05	atac
[400.0, 700.0)	475	0.9747368421052631	2328.0	1.21	-1.5119999999999998	0.0004996533983268449	atac
[700.0, 1000.0)	3572	0.9952407614781635	3176.0	1.895	-1.39	0.003757393555417873	atac
[1000.0, 1500.0)	15638	0.999360532037345	4543.0	3.4450000000000003	-1.2	0.016449641774810946	atac
[1500.0, 2000.0)	31130	0.9999357532926437	6039.0	4.93	-0.82	0.03274570587350459	atac
[2000.0, 3000.0)	98069	1.0	8795.0	7.47	-0.42	0.10315896656950599	atac
[3000.0, 5000.0)	222452	1.0	13658.0	12.66	0.71	0.23399767950442799	atac
[5000.0, 8000.0)	257641	1.0	21770.0	22.26	3.09	0.27101305515437185	atac
[8000.0, inf)	321604	1.0	39537.0	43.8	8.49	0.3382958558221192	atac
