modality	cov_bin	n_pools	n_droplets	llgap	p_sng	p_donor	rho_llgap	p_llgap	rho_p_sng	p_p_sng	rho_p_donor	p_p_donor
gex	[700.0, 1000.0)	105	38965	1.339736430287163	0.7898879217036658	0.9927709865037465	0.23171164730521612	0.017388862341482507	0.0738575101610653	0.4539908157919027	0.13750367079389247	0.16187870774161311
gex	[1000.0, 1500.0)	105	102506	2.2993950097422404	0.8092648189929877	0.9989157013662732	0.2780892251768469	0.0040744306023968065	-0.04783972215999776	0.6279453247536297	0.046369546496992625	0.6385611361315588
gex	[1500.0, 2000.0)	105	114814	3.477363929725099	0.8201074345703305	0.9999259198588129	0.3053860090230533	0.001535693778872215	-0.1025713463767532	0.29777753405218205	0.03349396507474613	0.7344607198225259
gex	[2000.0, 3000.0)	105	206844	5.515213349096948	0.8362415489396885	0.9999884451771495	0.29907758024583464	0.0019403770221655245	-0.06833597267389703	0.4885207364954113	0.07614045907026513	0.44012054747684004
gex	[3000.0, 5000.0)	105	226402	9.564993283471459	0.858561495085858	1.0	0.2960659145765134	0.002165698366395884	-0.18555792563586554	0.058074453808956206		
gex	[5000.0, 8000.0)	105	109129	17.30065152600811	0.8846161981947639	1.0	0.29398211148001224	0.0023351586617657923	-0.1615128023705166	0.09975787557720402		
gex	[8000.0, inf)	105	38300	33.45243778805697	0.9329985923395835	1.0	0.3216624809708481	0.0008198843448471954	-0.17149885673505602	0.08024107195696883		
atac	[1500.0, 2000.0)	105	29497	4.480886744768925	0.8651459626541823	0.9999615975422428	0.2711224804960074	0.0051496213462957656	0.12857875996108115	0.19114411751288712	-0.16176413308534104	0.09922464148777904
atac	[2000.0, 3000.0)	105	93228	6.797975100381351	0.8646795584319782	1.0	0.2922663432587638	0.00248357134989957	0.1195765989005978	0.22436877816257536		
atac	[3000.0, 5000.0)	105	201488	11.99487146550505	0.9066078245396976	1.0	0.29643913304155833	0.0021365478280890625	0.145184993196885	0.13947825547955744		
atac	[5000.0, 8000.0)	105	227381	21.23750315855258	0.9310082227166021	1.0	0.2839674160013053	0.0033284586093259047	-0.040318065898839225	0.6830109373440328		
atac	[8000.0, inf)	105	278999	48.29478755375378	0.9459012930268175	1.0	0.32911648309216307	0.0006078332527784898	-0.043577315852037356	0.6589240498090649		
