modality	cov_bin	n_pools	sng_gap	p_sng	p_donor	rho_min_dist_sng_gap	p_min_dist_sng_gap	rho_mean_dist_sng_gap	p_mean_dist_sng_gap	rho_kl_min_sng_gap	p_kl_min_sng_gap	rho_mean_dist_p_sng	p_mean_dist_p_sng
gex	[700.0, 1000.0)	105	14.486889199022796	0.7315186262281187	0.962943027684139	0.25003563722096606	0.010098720581779951	0.6876425461331122	5.396635239880707e-16	0.4530146463075112	1.2196348390668618e-06	0.02398440780521915	0.808113832466317
gex	[1000.0, 1500.0)	105	22.95555610479102	0.7454417171516668	0.9868155787973479	0.2975328704877318	0.0020531507320363505	0.7004354136429608	9.078425576702324e-17	0.4961265626099985	7.369361002897447e-08	-0.11208936463418662	0.254946415908828
gex	[1500.0, 2000.0)	105	33.23635411021331	0.7417392669901832	0.9936319244171308	0.33297307389762787	0.0005190910776094389	0.7264047273481236	1.793071176153109e-18	0.5245585526207165	9.263962701513925e-09	-0.19945158330966328	0.041365331753903674
gex	[2000.0, 3000.0)	105	49.48577851772259	0.7519846525345503	0.9980027060351764	0.33715104727021467	0.00043649607407491843	0.7139643375492432	1.2405933398069296e-17	0.5188255023104423	1.4291952477015946e-08	-0.007453866887829151	0.9398438302288427
gex	[3000.0, 5000.0)	105	80.92866440150199	0.7672789552337267	0.9996727767262458	0.35260332844103526	0.00022506734984136195	0.7254613311217084	2.0840402054671612e-18	0.5305352316512285	5.844478126840405e-09	-0.14434555435376564	0.14180519273616496
gex	[5000.0, 8000.0)	105	136.4910884889249	0.8028804779410208	1.0	0.35056617765266473	0.0002460864106310587	0.7117561683599419	1.7301920621726315e-17	0.5225265854221384	1.0812685336258898e-08	-0.19938471427656085	0.04143491996273345
gex	[8000.0, inf)	105	245.7330973674009	0.8526557846810954	1.0	0.3538733079401466	0.00021281743245424458	0.7020837652913126	7.166194232846691e-17	0.5252324192937144	8.79902267809763e-09	-0.23386971504837287	0.016343001479886616
atac	[1500.0, 2000.0)	105	37.38592892413417	0.7785421270900184	0.9950473174178172	0.2839570488217208	0.0033296584352590954	0.732189508604603	7.032636831544047e-19	0.4981844477575381	6.382103593576025e-08	0.10367939794931474	0.29256110154279436
atac	[2000.0, 3000.0)	105	55.95135064948229	0.7779029403494647	0.9983943503215049	0.3098749977831776	0.001296145423797684	0.7416027368857557	1.4543859650304285e-19	0.5351745445153293	4.062196855504346e-09	0.26786130826338866	0.005734675267956512
atac	[3000.0, 5000.0)	105	90.77152963239894	0.814914080913117	0.9998458344124042	0.33158387183329374	0.0005495861290142117	0.7406178726933443	1.7205652951610486e-19	0.5504972359413426	1.1739133572856269e-09	0.4948773705107901	8.038010219673475e-08
atac	[5000.0, 8000.0)	105	149.81618902360165	0.833748123121622	1.0	0.33676227803579284	0.00044363761601431945	0.7366473149492018	3.3622557031539433e-19	0.5585888196071094	5.94003550380135e-10	0.20801691921838003	0.03322324901409647
atac	[8000.0, inf)	105	323.5470566363364	0.8556771799895958	1.0	0.3675113326836652	0.00011494552856960522	0.7268090400165871	1.6808346888070578e-18	0.5727814884584032	1.719009821012245e-10	0.14717438865884397	0.13407937929344
