pool	donor	strategy	universe	nn_dist	n	err10k	sng_gap	kind
AFR_only__adversarial_mindist__rep1	HG01912	adversarial_mindist	AFR_only	103.54226	819	12.210012210012167	72.15442002442002	unrelated pool
AFR_only__adversarial_mindist__rep1	HG03439	adversarial_mindist	AFR_only	101.17312	859	11.641443538998875	72.77500582072177	unrelated pool
AFR_only__adversarial_mindist__rep1	HG03461	adversarial_mindist	AFR_only	101.77426	809	0.0	76.66370828182943	unrelated pool
AFR_only__adversarial_mindist__rep1	HG03520	adversarial_mindist	AFR_only	100.0	802	37.406483790524135	74.08390274314215	unrelated pool
AFR_only__adversarial_mindist__rep1	NA18924	adversarial_mindist	AFR_only	102.14206	868	0.0	74.0808064516129	unrelated pool
AFR_only__adversarial_mindist__rep1	NA18933	adversarial_mindist	AFR_only	100.0	850	11.764705882353343	75.467	unrelated pool
AFR_only__adversarial_mindist__rep1	NA19113	adversarial_mindist	AFR_only	101.77426	837	0.0	74.9495221027479	unrelated pool
AFR_only__adversarial_mindist__rep1	NA19150	adversarial_mindist	AFR_only	102.14206	852	11.737089201877549	71.87697183098592	unrelated pool
AFR_only__adversarial_mindist__rep2	HG02464	adversarial_mindist	AFR_only	102.70345	870	0.0	72.17770114942529	unrelated pool
AFR_only__adversarial_mindist__rep2	HG02588	adversarial_mindist	AFR_only	99.779755	846	35.460992907800915	74.40645390070922	unrelated pool
AFR_only__adversarial_mindist__rep2	NA19095	adversarial_mindist	AFR_only	102.02941	839	0.0	71.83134684147795	unrelated pool
AFR_only__adversarial_mindist__rep2	NA19122	adversarial_mindist	AFR_only	101.336075	824	0.0	77.75026699029127	unrelated pool
AFR_only__adversarial_mindist__rep2	NA19144	adversarial_mindist	AFR_only	100.57336	837	0.0	69.86011947431302	unrelated pool
AFR_only__adversarial_mindist__rep2	NA19146	adversarial_mindist	AFR_only	99.779755	783	0.0	70.53226053639847	unrelated pool
AFR_only__adversarial_mindist__rep2	NA19159	adversarial_mindist	AFR_only	101.94116	775	0.0	73.18472258064517	unrelated pool
AFR_only__adversarial_mindist__rep2	NA19203	adversarial_mindist	AFR_only	101.10885	857	0.0	72.57334889148191	unrelated pool
