q	n	called_dbl	pair_dist	modality
closest 20%	23260	0.9470765262252795	105.22026	gex
20-40	22744	0.9528227224762574	109.3762	gex
40-60	23205	0.9573798750269339	112.50096	gex
60-80	22687	0.9626217657689425	115.10901	gex
farthest 20%	23304	0.9645125300377617	118.59125	gex
closest 20%	23260	0.9940240756663801	105.22026	atac
20-40	22744	0.9946359479423145	109.3762	atac
40-60	23205	0.9959922430510666	112.50096	atac
60-80	22687	0.9962974390620178	115.10901	atac
farthest 20%	23304	0.9959663577068314	118.59125	atac
