modality	ambient_bin	tier	accuracy	n_true_singlets	ll_gap_median	ll_gap_p5	n_called_singlets
atac	0-10%	low_dist	0.9993392070484581	54480	27.145	5.8	54444
atac	0-10%	mid_dist	0.999411362600638	52664	30.06	6.82	52633
atac	0-10%	high_dist	0.9993543976910223	52664	31.34	7.23	52630
atac	10-20%	low_dist	0.9933260393873086	82260	21.1	3.27	81713
atac	10-20%	mid_dist	0.993460600115697	79518	23.12	3.81	78998
atac	10-20%	high_dist	0.9949696923966901	79518	24.02	4.11	79119
atac	20-30%	low_dist	0.9529883879781421	58560	13.4	0.42	55811
atac	20-30%	mid_dist	0.9549003674392312	56608	14.76	0.7	54058
atac	20-30%	high_dist	0.9587337478801583	56608	15.31	0.82	54275
atac	30-40%	low_dist	0.7909437559580553	31470	7.17	-0.94	24892
atac	30-40%	mid_dist	0.7993820058512212	30421	7.89	-0.91	24318
atac	30-40%	high_dist	0.7985930771506525	30421	8.1	-0.85	24294
atac	40%+	low_dist	0.3389506172839506	16200	2.855	-1.57	5502
atac	40%+	mid_dist	0.3459131545338442	15660	2.975	-1.56	5422
atac	40%+	high_dist	0.3450830140485313	15660	3.16	-1.52	5407
gex	0-10%	low_dist	0.9901067100741544	55290	10.1	1.126500000000001	54754
gex	0-10%	mid_dist	0.9921604580238367	53447	11.11	1.44	53033
gex	0-10%	high_dist	0.9926843414971841	53447	11.68	1.63	53058
gex	10-20%	low_dist	0.9523479318734793	82200	6.81	-0.36	78352
gex	10-20%	mid_dist	0.9542537125597785	79460	7.5	-0.23	75867
gex	10-20%	high_dist	0.9592247671784546	79460	7.89	-0.15799999999999728	76245
gex	20-30%	low_dist	0.83156174750602	58140	4.21	-1.18	48421
gex	20-30%	mid_dist	0.8371410270097149	56202	4.47	-1.16	47087
gex	20-30%	high_dist	0.8466424682395645	56202	4.8	-1.13	47640
gex	30-40%	low_dist	0.5911088911088911	30030	1.89	-1.59	17830
gex	30-40%	mid_dist	0.5827276172103758	29029	2.07	-1.63	16963
gex	30-40%	high_dist	0.5911330049261084	29029	2.185	-1.59	17204
gex	40%+	low_dist	0.2588099364529174	17310	0.65	-1.76	4535
gex	40%+	mid_dist	0.2560807984222793	16733	0.74	-1.76	4322
gex	40%+	high_dist	0.2498655351700233	16733	0.64	-1.7879999999999998	4225
