bin	n	acc	med_snps	frac	cum_frac	modality
[-5.0, 0.0)	77626	0.9917553397057687	1791.0	0.0889423076923077	0.0889423076923077	gex
[0.0, 0.5)	24273	0.994973839245252	1714.0	0.0278115146293173	0.116753822321625	gex
[0.5, 1.0)	25604	0.9976175597562881	1713.0	0.02933654762777737	0.14609036994940236	gex
[1.0, 2.0)	54862	0.9992891254420182	1728.0	0.0628597748771724	0.20895014482657476	gex
[2.0, 3.0)	57716	0.999584170767205	1791.5	0.06612983060790496	0.2750799754344797	gex
[3.0, 5.0)	111299	0.9999820303866163	1993.0	0.12752415303952483	0.4026041284740045	gex
[5.0, 7.5)	119030	1.0	2340.0	0.13638217716506562	0.5389863056390701	gex
[7.5, 10.0)	93015	1.0	2761.0	0.10657471401334605	0.6455610196524162	gex
[10.0, 15.0)	125280	1.0	3409.0	0.1435433013126054	0.7891043209650216	gex
[15.0, 20.0)	71279	1.0	4311.0	0.08167004289799809	0.8707743638630197	gex
[20.0, 30.0)	67452	1.0	5598.0	0.07728514335997654	0.9480595072229961	gex
[30.0, 50.0)	36572	1.0	7710.5	0.041903461171811984	0.9899629683948081	gex
[50.0, 75.0)	7267	1.0	10939.0	0.008326382268827455	0.9982893506636356	gex
[75.0, 100.0)	1042	1.0	15570.5	0.0011939026178778324	0.9994832532815134	gex
[100.0, 150.0)	409	1.0	23761.0	0.0004686239642150033	0.9999518772457284	gex
[150.0, 250.0)	42	1.0	24632.0	4.812275427146733e-05	0.9999999999999999	gex
[-5.0, 0.0)	26971	0.9985169255867413	3223.0	0.028370845907943858	0.028370845907943858	atac
[0.0, 0.5)	7862	0.999236835410837	3076.5	0.008270052668727693	0.03664089857667155	atac
[0.5, 1.0)	8590	0.99988358556461	3074.0	0.009035837245531784	0.04567673582220333	atac
[1.0, 2.0)	18429	1.0	3018.0	0.019385499953190367	0.06506223577539369	atac
[2.0, 3.0)	20651	1.0	3038.0	0.021722825955468785	0.08678506173086248	atac
[3.0, 5.0)	46518	1.0	3057.0	0.04893237217551193	0.13571743390637442	atac
[5.0, 7.5)	63207	1.0	3251.0	0.06648756283798922	0.20220499674436365	atac
[7.5, 10.0)	64928	1.0	3556.0	0.06829788599276923	0.27050288273713285	atac
[10.0, 15.0)	122655	1.0	4159.0	0.12902102646690347	0.39952390920403635	atac
[15.0, 20.0)	106631	1.0	5021.0	0.11216535056208378	0.5116892597661201	atac
[20.0, 30.0)	161216	1.0	6260.0	0.16958341529402235	0.6812726750601424	atac
[30.0, 50.0)	172236	1.0	8699.5	0.18117537413520515	0.8624480491953476	atac
[50.0, 75.0)	78604	1.0	12312.5	0.0826836962570175	0.9451317454523651	atac
[75.0, 100.0)	28189	1.0	16760.0	0.029652062411443008	0.9747838078638081	atac
[100.0, 150.0)	18352	1.0	22322.0	0.019304503507566857	0.994088311371375	atac
[150.0, 250.0)	5238	1.0	29100.5	0.00550986210618108	0.9995981734775561	atac
[250.0, inf)	382	1.0	47947.0	0.0004018265224439047	1.0	atac
