modality	lam	mean_acc	sd_acc	acc_min	acc_max	ordinary_minus_advmindist	ordinary_minus_family
gex	1.0	0.9984685944052243	0.00017955200098482244	0.9979069083664538	0.9987745260502329	0.00014367591245456612	0.00046094844633748355
gex	0.5	0.9980226618265484	0.00022243578989387776	0.9973478608933402	0.9983760131283943	0.00018117535795092454	0.000588121328806257
gex	0.3	0.9974001311204937	0.00025420079444171456	0.9966603915631974	0.997806525783828	0.00021023159227240296	0.000672007791665985
gex	0.2	0.9967406028334806	0.0002707318000938369	0.9959661506116546	0.9971707491532079	0.00022111303313254727	0.0007108501790872301
gex	0.15	0.996223407254742	0.0002705612070762738	0.9954615693645417	0.9966488630301902	0.00022419883796687134	0.0007044675195116978
gex	0.1	0.995473199416705	0.00026304691605954193	0.9947325120448212	0.9958839701871799	0.00021769583469022358	0.0006782334647887911
gex	0.07	0.9948197141552344	0.00024731958692865967	0.994126212097505	0.9952185286248012	0.00020375086841806223	0.0006402993778399368
gex	0.05	0.9942398047046418	0.000222304016670139	0.9936231899687171	0.9946019493341608	0.0001831920984316504	0.0005696510428787604
gex	0.03	0.9934739702923845	0.00017000399318618952	0.9930050982565473	0.993747388847839	0.0001356406574476443	0.00042321454292415517
atac	1.0	0.999939768819081	8.568071864201977e-06	0.9999114533554493	0.9999552365578488	7.027012944194055e-06	2.2268100098976618e-05
atac	0.5	0.9999368124781471	9.160250719578327e-06	0.9999052183339446	0.999951042963348	7.250157987082062e-06	2.5181203715307632e-05
atac	0.3	0.9999257980963162	1.097305296716247e-05	0.9998871752561795	0.9999425275014118	8.49460314200634e-06	3.1295465152458846e-05
atac	0.2	0.9999102901455168	1.3568585559386879e-05	0.999862103001259	0.9999310043653914	1.0209663924065637e-05	4.056823642673013e-05
atac	0.15	0.9998934430013845	1.615350489734858e-05	0.9998351430355854	0.9999173027393038	1.1747632960634746e-05	5.0247466684361086e-05
atac	0.1	0.9998576253578909	2.112515222925433e-05	0.9997832506170601	0.9998862118170091	1.5073058200032463e-05	6.823955022061678e-05
atac	0.07	0.999810292972436	2.6269802981602982e-05	0.9997188019560691	0.9998440906153846	1.8566636477590492e-05	8.662865110986573e-05
atac	0.05	0.9997487120726858	3.117126486513686e-05	0.9996411923640973	0.9997889392094582	2.1387217654988966e-05	0.00010388200866062736
atac	0.03	0.9996248309553849	3.5393232869541634e-05	0.9995053760121034	0.9996706463948459	2.4953190755905297e-05	0.00011669305351746928
