universe	strategy	rep	pool	min_dist	mean_dist	max_dist	entropy_mean	entropy_p25	frac_discrim	kl_min	kl_mean	log_det
EUR_only	random	0	[np.int64(45), np.int64(2262), np.int64(3023), np.int64(2236), np.int64(715), np.int64(719), np.int64(46), np.int64(2313)]	100.6628	105.62803	112.30316	0.55819714	0.37677017	0.79525	1.7499073	1.928189	-8.17219481726276
EUR_only	greedy_maxmin	0	[46, 136, 0, 19, 717, 3046, 786, 3001]	108.54492	112.164635	116.41735	0.5761147	0.37677017	0.79925	2.0346794	2.1738274	-7.3125940964563805
EUR_only	greedy_maxmean	0	[46, 136, 19, 717, 163, 786, 0, 2164]	107.46627	113.43661	121.5648	0.57960427	0.37677017	0.80195	1.9944417	2.2245317	-7.210963616198605
EUR_only	greedy_maxkl	0	[46, 0, 1, 2, 3, 4, 5, 6]	100.5286	105.46116	113.96052	0.54915804	0.37677017	0.7879	1.7452445	1.9228603	-8.15180455699127
EUR_only	random	1	[np.int64(3078), np.int64(2238), np.int64(57), np.int64(8), np.int64(728), np.int64(786), np.int64(2234), np.int64(11)]	101.336075	106.89171	112.75638	0.5613331	0.37677017	0.7979	1.7733938	1.9739898	-7.941575441529068
EUR_only	greedy_maxmin	1	[8, 163, 717, 10, 2248, 2264, 37, 3001]	109.311485	112.7927	121.5648	0.57655394	0.37677017	0.80865	2.0635195	2.1981466	-7.253319588948834
EUR_only	greedy_maxmean	1	[8, 163, 717, 19, 2235, 10, 0, 3034]	108.64622	114.11996	121.5648	0.57457376	0.37677017	0.7917	2.0384786	2.250664	-7.054624897822733
EUR_only	greedy_maxkl	1	[8, 0, 1, 2, 3, 4, 5, 6]	100.5286	105.74945	113.96052	0.5495861	0.37677017	0.7797	1.7452445	1.9332157	-8.091851495494918
EUR_only	random	2	[np.int64(2284), np.int64(704), np.int64(3028), np.int64(3064), np.int64(44), np.int64(719), np.int64(66), np.int64(177)]	100.68764	105.131065	109.73149	0.55310994	0.37677017	0.79205	1.7507707	1.9097849	-8.219710693407318
EUR_only	greedy_maxmin	2	[2291, 717, 2264, 163, 158, 2235, 0, 3034]	109.940895	113.56158	121.5648	0.58302975	0.37677017	0.79935	2.0873513	2.228251	-7.152724057890589
