pool	universe	strategy	modality	accuracy	ll_gap_p5	ll_gap_mean	low_margin_frac_t50	low_margin_frac_t100	n_singlets	min_dist	kl_min	kl_mean
AFR_only__greedy_maxmin__rep1	AFR_only	greedy_maxmin	atac	0.920237066304482	1.68	29.818648866228365	0.8314772574802093	0.9676640279082249	7453.0	113.7717	2.23535	2.492639
AFR_only__greedy_maxmin__rep1	AFR_only	greedy_maxmin	gex	0.8430670453142364	-0.6254999999999995	11.21153147877013	0.9834553440702782	0.9988286969253294	6830.0	113.7717	2.23535	2.492639
AFR_only__random__rep1	AFR_only	random	atac	0.9198666502037288	1.309000000000001	27.93912080536913	0.8503355704697987	0.9720805369127516	7450.0	103.54226	1.8514512	2.0638402
AFR_only__random__rep1	AFR_only	random	gex	0.809359180145697	-0.81	10.319004269594389	0.9867337602927722	0.9993900579444953	6558.0	103.54226	1.8514512	2.0638402
AMR_only__greedy_maxkl__rep1	AMR_only	greedy_maxkl	atac	0.9048030621064329	0.8135000000000002	23.352292576419213	0.8979257641921398	0.9843067685589519	7328.0	89.615845	1.3869047	1.8310425
AMR_only__greedy_maxkl__rep1	AMR_only	greedy_maxkl	gex	0.8435609334485739	-0.94	8.534464259611168	0.9935681917848268	0.9997076450811285	6841.0	89.615845	1.3869047	1.8310425
AMR_only__greedy_maxmean__rep1	AMR_only	greedy_maxmean	atac	0.920854426472404	1.6470000000000005	29.130658353445966	0.8392330383480826	0.971171895950657	7458.0	97.077286	1.6274672	2.371815
AMR_only__greedy_maxmean__rep1	AMR_only	greedy_maxmean	gex	0.8397333004074578	-0.67	10.414650411280846	0.9869271445358402	0.9995593419506463	6808.0	97.077286	1.6274672	2.371815
AMR_only__greedy_maxmin__rep1	AMR_only	greedy_maxmin	atac	0.9197431781701445	1.35	27.088119715474434	0.8623003623674674	0.9745000671050865	7451.0	109.18791	2.0588567	2.2761426
AMR_only__greedy_maxmin__rep1	AMR_only	greedy_maxmin	gex	0.8564020249413508	-0.85	9.801551649618212	0.9897709263794843	0.9994237141622244	6941.0	109.18791	2.0588567	2.2761426
AMR_only__random__rep1	AMR_only	random	atac	0.9230769230769231	1.18	27.538960674157302	0.856474050294275	0.9736490101658641	7476.0	99.944984	1.7250395	2.0282283
AMR_only__random__rep1	AMR_only	random	gex	0.8530682800345721	-0.67	9.907201330633496	0.9898756146948221	0.9995660977726353	6914.0	99.944984	1.7250395	2.0282283
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	atac	0.9112236078528213	1.1	24.06848550528312	0.8901381739366026	0.9814413438092657	7382.0	101.04949	1.7633773	2.0337481
EAS_only__greedy_maxmean__rep1	EAS_only	greedy_maxmean	gex	0.8282504012841091	-0.98	8.088938830183062	0.9947908915017115	0.9997023366572406	6719.0	101.04949	1.7633773	2.0337481
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	atac	0.9135695764909249	0.8095000000000006	24.309843243243247	0.8872972972972973	0.9824324324324324	7400.0	105.17604	1.9103398	2.0170093
EAS_only__greedy_maxmin__rep1	EAS_only	greedy_maxmin	gex	0.8431905173478207	-0.99	8.426435049736687	0.9950263311878291	0.9995611468695144	6836.0	105.17604	1.9103398	2.0170093
EAS_only__random__rep1	EAS_only	random	atac	0.9152981849611063	0.7995000000000011	23.281580793094147	0.8988400323711896	0.9830051254383598	7414.0	98.48858	1.6751306	1.760454
EAS_only__random__rep1	EAS_only	random	gex	0.8488702308927027	-0.94	8.218512276623565	0.994333866046782	0.99970942902804	6883.0	98.48858	1.6751306	1.760454
EUR_AFR__ancestry_balanced__rep1	EUR_AFR	ancestry_balanced	atac	0.9198666502037288	1.5335000000000014	28.54820805369128	0.8511409395973154	0.9724832214765101	7450.0	102.610916	1.8182942	2.309016
EUR_AFR__ancestry_balanced__rep1	EUR_AFR	ancestry_balanced	gex	0.8454130139523398	-0.65	10.596339220551744	0.9886148007590133	0.999124215443001	6851.0	102.610916	1.8182942	2.309016
EUR_AFR__greedy_maxmean__rep1	EUR_AFR	greedy_maxmean	atac	0.9244351154463514	1.7730000000000001	29.925891545345266	0.8322425537598505	0.9696807800186991	7487.0	111.754196	2.1567743	2.735348
EUR_AFR__greedy_maxmean__rep1	EUR_AFR	greedy_maxmean	gex	0.8403506605753797	-0.6	11.025409691629957	0.9860499265785609	0.9995594713656387	6810.0	111.754196	2.1567743	2.735348
EUR_AFR__greedy_maxmin__rep1	EUR_AFR	greedy_maxmin	atac	0.9198666502037288	1.6949999999999998	29.62263722990203	0.8337135954905381	0.9707421822574152	7451.0	114.328476	2.257282	2.6146286
EUR_AFR__greedy_maxmin__rep1	EUR_AFR	greedy_maxmin	gex	0.8335596987282381	-0.59	11.234787501851027	0.9853398489560196	0.9995557529986673	6753.0	114.328476	2.257282	2.6146286
EUR_AFR__random__rep1	EUR_AFR	random	atac	0.9209778985059884	1.5990000000000004	29.22114090360638	0.8371095321088617	0.970371363453546	7459.0	98.35649	1.6706406	2.213658
EUR_AFR__random__rep1	EUR_AFR	random	gex	0.8538091122360786	-0.7	10.685641173919327	0.9877114355934654	0.9991325719242447	6917.0	98.35649	1.6706406	2.213658
