pool	acc	p_sng	universe	strategy	min_dist	mean_dist	kl_min	heldout	p_donor	ll_gap_mean	ll_gap_p5	n_snps_med	err_per_1k	modality
AFR_only__adversarial_mindist__rep1	0.8259044326460057	0.8267687368810964	AFR_only	adversarial_mindist	100.0	103.62320709228516	1.406992793083191	False	0.9989545997610514	10.133406511350058	-0.81	2784.0	1.0454002389486128	gex
AFR_only__adversarial_mindist__rep2	0.8183726385973576	0.8187430546981109	AFR_only	adversarial_mindist	99.77975463867188	102.8152847290039	1.3821614980697632	False	0.9995475795505957	9.803743025184739	-0.82	2794.0	0.4524204494043005	gex
AFR_only__adversarial_mindist__rep3	0.8378812199036918	0.8383751080380294	AFR_only	adversarial_mindist	102.23502349853516	104.52959442138672	1.4229131937026978	True	0.9994108983799705	9.936954344624448	-0.89	2790.0	0.589101620029453	gex
AFR_only__greedy_maxkl__rep2	0.8405976046425485	0.841091492776886	AFR_only	greedy_maxkl	112.56553649902344	119.12351989746094	1.678526520729065	False	0.9994128009395185	10.150330299471522	-0.78	2785.0	0.5871990604815469	gex
AFR_only__greedy_maxkl__rep3	0.8212124953697988	0.8223237436720583	AFR_only	greedy_maxkl	113.2298583984375	119.63823699951172	1.6853902339935305	True	0.9986486486486487	9.885719219219219	-0.74	2762.5	1.3513513513513375	gex
AFR_only__greedy_maxmean__rep1	0.8255340165452525	0.8260279046795901	AFR_only	greedy_maxmean	104.52751	120.43151	1.8868535	False	0.9994020926756353	11.069895366218237	-0.7154999999999995	2810.0	0.5979073243647104	gex
AFR_only__greedy_maxmean__rep2	0.8270156809482652	0.8273860970490184	AFR_only	greedy_maxmean	104.52751	120.3787	1.8868535	False	0.9995523056260259	10.752499626921354	-0.75	2784.0	0.4476943739740724	gex
AFR_only__greedy_maxmean__rep3	0.8236819360414867	0.8239288801086554	AFR_only	greedy_maxmean	104.52751	120.66752	1.8868535	False	0.999700284729507	11.184892851790798	-0.7539999999999998	2769.0	0.29971527049299507	gex
AFR_only__greedy_maxmin__rep1	0.8430670453142364	0.8433139893814051	AFR_only	greedy_maxmin	113.7717	120.03552	2.23535	False	0.9997071742313324	11.21153147877013	-0.6254999999999995	2790.0	0.2928257686676261	gex
AFR_only__greedy_maxmin__rep2	0.8252870724780837	0.8256574885788369	AFR_only	greedy_maxmin	112.56554	119.12352	2.1882045	True	0.9995513683266039	11.041796022132496	-0.62	2793.0	0.4486316733961493	gex
AFR_only__greedy_maxmin__rep3	0.8339301148289913	0.8343005309297444	AFR_only	greedy_maxmin	113.22986	119.63824	2.2141087	False	0.9995560159834246	11.194377682403434	-0.6619999999999999	2774.0	0.4439840165754161	gex
AFR_only__random__rep1	0.809359180145697	0.8097295962464501	AFR_only	random	103.54226	109.27419	1.8514512	False	0.9995425434583715	10.319004269594389	-0.81	2788.5	0.45745654162854255	gex
AFR_only__random__rep2	0.8478824546240277	0.848623286825534	AFR_only	random	104.54664	109.404625	1.8875444	False	0.9991270187690965	10.788486832533101	-0.68	2799.0	0.8729812309035134	gex
AFR_only__random__rep3	0.8226941597728115	0.8235584640079022	AFR_only	random	102.66937	106.53491	1.8203664	True	0.9989505247376311	10.156107946026987	-0.8454999999999995	2796.5	1.0494752623688708	gex
AMR_only__adversarial_mindist__rep1	0.8339301148289913	0.8346709470304976	AMR_only	adversarial_mindist	97.07213592529295	100.89122009277344	1.3000755310058594	True	0.999112426035503	9.266041420118343	-0.85	2809.0	0.8875739644970126	gex
AMR_only__adversarial_mindist__rep2	0.8465242622545993	0.8484998147919496	AMR_only	adversarial_mindist	85.6913070678711	89.3214340209961	0.971569836139679	False	0.9976717112922002	7.413410942956927	-0.97	2805.5	2.328288707799775	gex
AMR_only__adversarial_mindist__rep3	0.8483763427583653	0.8496110630942092	AMR_only	adversarial_mindist	86.42916107177734	91.60359191894533	1.0042986869812012	True	0.9985467228600494	7.492521435837815	-0.92	2808.0	1.4532771399505817	gex
AMR_only__greedy_maxkl__rep1	0.8435609334485739	0.8446721817508335	AMR_only	greedy_maxkl	109.18791198730467	114.7220230102539	1.597160577774048	False	0.9986844028650782	8.534464259611168	-0.94	2780.0	1.3155971349217976	gex
AMR_only__greedy_maxkl__rep2	0.8350413631312508	0.8363995555006791	AMR_only	greedy_maxkl	110.7835693359375	115.70594787597656	1.7023320198059082	True	0.9983761440803071	8.122209920283437	-0.91	2809.5	1.6238559196929403	gex
AMR_only__greedy_maxkl__rep3	0.8359056673663415	0.8371403877021855	AMR_only	greedy_maxkl	111.1080551147461	114.90013885498048	1.6879433393478394	False	0.9985250737463127	8.238688790560472	-0.96	2796.5	1.474926253687281	gex
AMR_only__greedy_maxmean__rep1	0.8397333004074578	0.8405976046425485	AMR_only	greedy_maxmean	97.077286	116.93925	1.6274672	False	0.9989717978848414	10.414650411280846	-0.67	2784.0	1.0282021151586385	gex
