bin	n	acc	med_snps	med_reads	med_llgap	frac	modality
[2.0, 3.0)	1638	0.8174603174603174	696.0	4938.0	-0.74	0.0018767874165872259	gex
[3.0, 5.0)	4670	0.9289079229122056	745.0	5256.0	-0.42	0.005350791963041725	gex
[5.0, 7.5)	8627	0.9804103396313898	833.0	5870.0	-0.1	0.009884642883332111	gex
[7.5, 10.0)	12046	0.9955171841275112	916.5	6456.0	0.3	0.013802064237002273	gex
[10.0, 15.0)	34411	0.9991281857545552	1085.0	7684.0	0.9	0.039427430886558625	gex
[15.0, 20.0)	44339	0.9999097859672073	1283.0	9160.0	1.66	0.05080273337244262	gex
[20.0, 30.0)	102815	1.0	1586.0	11370.0	2.77	0.11780335667668843	gex
[30.0, 50.0)	194514	1.0	2174.0	15783.0	5.02	0.2228702243895285	gex
[50.0, 75.0)	177284	1.0	3030.0	22222.0	8.58	0.20312843733959082	gex
[75.0, 100.0)	108729	1.0	3982.0	29659.0	12.83	0.12457949879005646	gex
[100.0, 150.0)	107303	1.0	5291.0	40268.0	18.58	0.12294561670455378	gex
[150.0, 250.0)	60461	1.0	7563.0	58990.0	29.4	0.06927499633350444	gex
[250.0, inf)	15931	1.0	11744.0	95446.0	49.84	0.018253419007113	gex
[2.0, 3.0)	76	0.8289473684210527	716.0	2572.0	-0.72	7.994454373229517e-05	atac
[3.0, 5.0)	210	0.9285714285714286	850.5	3158.0	-0.665	0.00022089939715502614	atac
[5.0, 7.5)	519	0.9749518304431599	934.0	3313.0	-0.44	0.0005459370815402789	atac
[7.5, 10.0)	858	0.9988344988344988	1003.0	3653.0	0.03	0.000902531822661964	atac
[10.0, 15.0)	3292	0.9984811664641555	1137.0	3997.0	0.58	0.0034628610258778383	atac
[15.0, 20.0)	5794	1.0	1392.0	4829.0	1.36	0.006094719557696293	atac
[20.0, 30.0)	20206	1.0	1659.0	5761.0	2.57	0.02125472961387837	atac
[30.0, 50.0)	69360	1.0	2300.0	7855.0	4.82	0.07295991517463149	atac
[50.0, 75.0)	114026	1.0	3123.0	10735.0	8.37	0.11994416504761433	atac
[75.0, 100.0)	115563	1.0	4088.0	13992.0	12.58	0.12156093825441089	atac
[100.0, 150.0)	195883	1.0	5457.0	18774.0	18.77	0.2060496981567523	atac
[150.0, 250.0)	234090	1.0	8057.0	27626.0	30.58	0.24623971371438128	atac
[250.0, inf)	190782	1.0	13948.0	47717.0	58.0	0.2006839466096676	atac
